candidate,label,seed_count,final_ratio_mean,final_ratio_min,final_ratio_max,pre_shock_rmse,early_rmse,full_anchor_rmse,shape_score,late_births_per_population_mean,target_error,inside_target_band,error_1980,error_1990,error_2000,error_2010,error_2020,error_2070,birth_probability,pair_duration_mean,initial_pair_fraction,carrying_capacity,lifespan_mean
bp0.24_dur26_cap4500_life82,"birth=0.24, duration=26, cap=4500, life=82",3,0.8458179884331583,0.8244897959183674,0.8729641693811075,0.02770078788932553,0.04729543250762167,0.06019030742661465,0.14857087602391003,0.008663500000000001,0.10581798843315826,True,0.0,0.0280479003676631,0.03860828539416169,0.04851946994536779,0.08061023717248898,0.1026118916418917,0.24,26.0,0.55,4500,82.0
bp0.20_dur18_cap9000_life86,"birth=0.20, duration=18, cap=9000, life=86",3,0.8268670235958434,0.7913610431947841,0.8773507767784138,0.033646629609583666,0.06077587790786537,0.0660314693625651,0.15504688959138585,0.00667525,0.08686702359584342,True,0.0,0.03050969134714358,0.04921611522040603,0.07816658118804092,0.09448966311597078,0.08366092680457678,0.2,18.0,0.55,9000,86.0
bp0.22_dur18_cap6000_life86,"birth=0.22, duration=18, cap=6000, life=86",3,0.8232011432320204,0.7312703583061889,0.9018653690186537,0.038083891194412196,0.06126696286185837,0.06859384513918272,0.15614463890158672,0.0070144,0.08320114323202044,True,0.0,0.038474248774228746,0.053579889012176286,0.07945805794857463,0.08951418599030703,0.07999504644075373,0.22,18.0,0.55,6000,86.0
bp0.20_dur26_cap9000_life86,"birth=0.20, duration=26, cap=9000, life=86",3,0.827455448102466,0.7760586319218241,0.8691741618969746,0.037858688505749284,0.060703196434921725,0.06689358447826806,0.15614870585569235,0.006831833333333333,0.08745544810246597,True,0.0,0.03754932543663991,0.053246160679522925,0.07729690630763608,0.08981598853480073,0.08424935131119944,0.2,26.0,0.55,9000,86.0
bp0.22_dur18_cap6000_life82,"birth=0.22, duration=18, cap=6000, life=82",3,0.8447194362667644,0.8244897959183674,0.8816326530612245,0.03229237434631327,0.055474618422881115,0.0655612460826364,0.15952692803317942,0.0082995,0.10471943626676439,True,0.0,0.030523432475809836,0.046806723438732746,0.060263294670371025,0.09236557864285129,0.10151333947549768,0.22,18.0,0.55,6000,82.0
bp0.22_dur26_cap6000_life86,"birth=0.22, duration=26, cap=6000, life=86",3,0.8421356234957381,0.8013029315960912,0.8855273916598528,0.03932510510125388,0.06562994417281674,0.07311298852709301,0.17340325840457463,0.006797449999999999,0.10213562349573813,True,0.0,0.038092213601677916,0.056243143055854906,0.08708331998753005,0.09634285373074203,0.09892952670447157,0.22,26.0,0.55,6000,86.0
bp0.18_dur18_cap9000_life86,"birth=0.18, duration=18, cap=9000, life=86",3,0.6433714456208343,0.6055419722901385,0.6742857142857143,0.019859546331560295,0.026435534223131094,0.04916172126342234,0.11730264912035353,0.00552665,0.09662855437916573,False,0.0,0.02163517074786947,0.026252499237984006,0.03890572415457479,0.023646658271817705,-0.09983465117043222,0.18,18.0,0.55,9000,86.0
bp0.18_dur26_cap6000_life86,"birth=0.18, duration=26, cap=6000, life=86",3,0.614413275854644,0.5692182410423453,0.6904176904176904,0.011357830401919206,0.015063223111546896,0.05575061399109508,0.12984139339743322,0.005771333333333333,0.125586724145356,False,0.0,0.015492417277047421,0.011620252598776673,0.018568337048678885,-0.002857030080259874,-0.12879282093662267,0.18,26.0,0.55,6000,86.0
bp0.20_dur18_cap6000_life78,"birth=0.20, duration=18, cap=6000, life=78",3,0.6288570788153783,0.5842880523731587,0.7030995106035889,0.012233017769354468,0.030569134056292135,0.0549347474145001,0.13343305854903004,0.007422500000000001,0.11114292118462166,False,0.0,-0.008045588107887728,-0.018136894772248818,-0.018562097008861505,-0.03465807171240132,-0.11434901797588815,0.2,18.0,0.55,6000,78.0
bp0.20_dur18_cap4500_life86,"birth=0.20, duration=18, cap=4500, life=86",3,0.6105366233728092,0.5864045864045864,0.6266233766233766,0.010740119645467524,0.0174249869096986,0.056489130746545435,0.13428955924241476,0.00529375,0.12946337662719076,False,0.0,0.01194419252213752,0.008620649069458993,0.017154868282168206,-0.0048754666151343455,-0.1326694734184574,0.2,18.0,0.55,4500,86.0
bp0.20_dur26_cap6000_life78,"birth=0.20, duration=26, cap=6000, life=78",3,0.6388508447662289,0.6048979591836735,0.6800327332242226,0.02335948312555883,0.0396668117764851,0.05651179636201258,0.13683648281126196,0.00832615,0.1011491552337711,False,0.0,-0.015117939246075407,-0.03663757762805927,-0.045221362854625115,-0.0626549945213148,-0.1043552520250377,0.2,26.0,0.55,6000,78.0
