region,region_label,candidate,seed_count,anchor_rmse_mean,anchor_rmse_min,anchor_rmse_max,final_ratio_mean,final_ratio_min,final_ratio_max,late_births_per_population_mean,score,birth_probability,carrying_capacity,pair_duration_mean,lifespan_mean,location_cluster_count,initial_pair_fraction
gbr,United Kingdom,56,2,0.1625808486082093,0.14311558482174516,0.18204611239467341,1.3952232667450057,1.3578378378378377,1.432608695652174,0.013336250000000001,0.1625808486082093,0.3,3200.0,14.0,84.0,10,0.55
gbr,United Kingdom,43,2,0.1631303428740645,0.15398709354418172,0.17227359220394728,1.422786220158529,1.4065217391304348,1.4390507011866236,0.0136352,0.1631303428740645,0.26,4800.0,14.0,78.0,10,0.55
gbr,United Kingdom,46,2,0.16538643725564234,0.1541632780813958,0.17660959642988888,1.4102017618641658,1.3856209150326797,1.434782608695652,0.01370755,0.16538643725564234,0.26,4800.0,20.0,84.0,10,0.55
gbr,United Kingdom,48,2,0.1907480763869689,0.18721475307620034,0.19428139969773747,1.447768068580089,1.446623093681917,1.4489130434782609,0.0131882,0.1907480763869689,0.26,4800.0,26.0,84.0,10,0.55
gbr,United Kingdom,60,2,0.1932713631524648,0.18453961260633578,0.20200311369859383,1.4565217391304346,1.4391304347826086,1.4739130434782608,0.013856649999999998,0.1932713631524648,0.3,3200.0,26.0,84.0,10,0.55
gbr,United Kingdom,54,2,0.21911367418760225,0.2131188276973547,0.22510852067784978,1.5111552017788712,1.4967391304347826,1.5255712731229598,0.0153658,0.21911367418760225,0.26,7200.0,26.0,84.0,10,0.55
gbr,United Kingdom,49,2,0.22459533962103856,0.18819612419626228,0.26099455504581487,1.540233480350698,1.487594390507012,1.5928725701943844,0.01690685,0.22459533962103856,0.26,7200.0,14.0,78.0,10,0.55
gbr,United Kingdom,50,2,0.2261788812562338,0.2130773687174008,0.23928039379506683,1.5277140252330677,1.5102702702702702,1.5451577801958651,0.01674535,0.2261788812562338,0.26,7200.0,14.0,84.0,10,0.55
gbr,United Kingdom,51,2,0.22823195164556326,0.20100657212931397,0.2554573311618126,1.542657756210672,1.501082251082251,1.5842332613390928,0.016118200000000003,0.22823195164556326,0.26,7200.0,20.0,78.0,10,0.55
gbr,United Kingdom,53,2,0.23332696835143976,0.22235556903493242,0.2442983676679471,1.5532631332631333,1.5367965367965368,1.5697297297297297,0.01707465,0.23332696835143976,0.26,7200.0,26.0,78.0,10,0.55
gbr,United Kingdom,63,2,0.2514714702237271,0.23711839659325462,0.2658245438541996,1.575856175639256,1.5606060606060606,1.5911062906724511,0.0167022,0.2514714702237271,0.3,4800.0,20.0,78.0,10,0.55
gbr,United Kingdom,52,2,0.2593919162738041,0.24668328796315717,0.272100544584451,1.5777925882370856,1.5538628944504898,1.6017222820236814,0.01665775,0.2593919162738041,0.26,7200.0,20.0,84.0,10,0.55
gbr,United Kingdom,62,2,0.2633338384620346,0.24629920154257692,0.28036847538149234,1.5903243736148551,1.5691144708423326,1.6115342763873777,0.017946900000000002,0.2633338384620346,0.3,4800.0,14.0,84.0,10,0.55
